100	77
150	41
200	96
250	70
300	128
350	100
400	160
450	132
500	188
550	167
600	228
650	196
700	258
750	234
800	294
850	274
900	319
950	299
1000	355
1050	333
1100	398
1150	376
1200	431
1250	400
1300	420
1350	474
1400	456
1450	514
1500	496
1550	544
1600	530
1650	594
1700	564
1750	580
1800	601
1850	618
1900	642
1950	653
2000	669
2050	683
2100	714
2150	729
2200	741
2250	781
2300	776
2350	801
2400	810
2450	844
2500	843
2550	869
2600	880
2650	910
2700	917
2750	950
2800	966
2850	1003
2900	1000
2950	1037
3000	1052
3050	1054
3100	1074
3150	1100
3200	1119
3250	1139
3300	1157
3350	1171
3400	1191
3450	1224
3500	1229
3550	1243
3600	1269
3650	1303
3700	1299
3750	1335
3800	1346
3850	1374
3900	1382
3950	1395
4000	1405
