100	70
150	154
200	287
250	444
300	621
350	882
400	1113
450	1410
500	1732
550	2182
600	2563
650	3123
700	3496
750	3971
800	4520
850	5162
900	5840
950	6457
1000	7142
1050	7895
1100	8688
1150	9585
1200	10371
1250	11096
1300	12107
1350	13011
1400	13991
1450	14944
1500	15866
1550	17131
1600	18469
1650	19685
1700	20766
1750	21878
1800	23060
1850	24517
1900	25716
1950	27205
2000	28603
2050	29946
2100	31313
2150	33190
2200	34440
2250	36166
2300	37826
2350	39145
2400	41317
2450	43217
2500	44485
2550	46231
2600	48049
2650	50294
2700	52236
2750	53976
2800	55651
2850	58117
2900	59783
2950	61969
3000	64445
3050	65579
3100	68975
3150	70757
3200	72911
3250	74759
3300	77766
3350	79861
3400	82992
3450	84823
3500	88267
3550	90150
3600	92330
3650	94858
3700	97681
3750	100037
3800	102797
3850	105894
3900	108492
3950	110748
4000	113431
